e, e_dot, e_int, stamp, 
-0.017032272049928576, -0.01813184489105742, -0.002364732549429523, 211106000000, 
-0.008752260446300064, -0.006354209457990478, -0.0021753686736754375, 211208000000, 
-0.0054551650465046175, 0.03859035667807986, -0.0020826465028488837, 211276000000, 
-0.014083493483864173, -0.017770776791880365, -0.001886061265111257, 211378000000, 
-0.006312311806230264, -0.0028571558657521554, -0.001723398022439937, 211480000000, 
-0.013485659385230164, 0.0019927803287800305, -0.0022587643116883066, 211582000000, 
-0.010175545254240026, -0.012877444826699206, -0.0019982344297133636, 211684000000, 
-0.004463374138632126, 0.030074284155326796, -0.0018749719185401543, 211786000000, 
-0.008416894134563424, 0.005862170398922006, -0.0015370542351623717, 211888000000, 
-0.0037153110837576664, 0.002493543516248198, -0.0011063719571302144, 211990000000, 
4.8507675470821354e-05, 0.028218006033447485, -0.0008055798361900179, 212092000000, 
-0.003870998636437195, -0.0005189585089317624, -0.000502520136314936, 212194000000, 
-0.0012050544264854413, -0.004178540339854209, -0.0003351696924967877, 212296000000, 
0.00034002242263891924, 0.014036736863587048, -0.00031573537601891445, 212398000000, 
-0.00237420940401456, -0.003897183258430396, -0.0002159494271907388, 212500000000, 
-0.0007415380534303018, -0.0036052015868974032, -0.0001850483356537295, 212602000000, 
-0.0010227134060905585, 0.004504986659746672, -0.00027589739090236136, 212670000000, 
-0.0017478211208646899, -0.0033542768914479604, -0.00023413817202570333, 212772000000, 
-0.0007704728069118927, 0.0008408019972622194, -0.00023606715559114274, 212874000000, 
-0.0009228747757506484, 0.0027498211503801384, -0.0002294112469018154, 212976000000, 
-0.00030793488711794437, 0.0015417930659798278, -0.00013341883131869902, 213078000000, 
0.0008317475458885504, 0.005848741072130663, -2.660414113200282e-05, 213180000000, 
0.001323410805465497, 0.005437818975278137, 0.00012314823094907354, 213282000000, 
0.0022514034950308903, 0.004732186497141133, 0.00029377078975899583, 213384000000, 
0.004784321406349323, 0.011536368669612754, 0.0005572757137897141, 213486000000, 
0.004398841241160523, 0.007158125820432108, 0.0007623044095027157, 213588000000, 
0.0043461714938862195, -0.0014604997082103461, 0.0009019556094264044, 213690000000, 
0.008048042308620773, 0.012164003558200834, 0.0011195370029111677, 213792000000, 
0.006060158255140169, 0.005713289204179832, 0.0012302914705098107, 213894000000, 
0.005336783564483749, -0.009037529147123413, 0.0012963322752163127, 213996000000, 
0.01042255659013408, 0.014541327783313037, 0.0014546332273171999, 214098000000, 
0.0074083030354985535, 0.006905064903382681, 0.0015445095460077589, 214200000000, 
0.015533905805253323, 0.017037830717064145, 0.0022243176953923973, 214302000000, 
0.011480977741937792, 0.013575582354797463, 0.0022948791055126447, 214370000000, 
0.00826998807046564, -0.024213059115958946, 0.0023523247745104504, 214472000000, 
0.0160424946345879, 0.015205056308833695, 0.002386230696466089, 214574000000, 
0.010344291887219748, 0.0069143460558470276, 0.002310451639484886, 214676000000, 
0.007587637820241189, -0.028182856047822374, 0.002264961622803256, 214778000000, 
0.01777971877579887, 0.02478475629526374, 0.002380776565550654, 214880000000, 
0.011859614650397365, 0.014239922767187255, 0.0024817980830958283, 214982000000, 
0.02518048886544033, 0.024669233632138205, 0.0036546548194424378, 215084000000, 
0.019487951366434608, 0.025427789053457477, 0.003768536992151487, 215186000000, 
0.013471744463925683, -0.03902914800504883, 0.0038760123130533747, 215288000000, 
0.024751846462107818, 0.017546316985577366, 0.0038474361528312074, 215390000000, 
0.015206769848165491, 0.005783417947466026, 0.003562024051613266, 215492000000, 
0.01031710881032738, -0.04811579217260146, 0.003351715008040046, 215594000000, 
0.024621650311391408, 0.03138293487741972, 0.0033430352646589517, 215696000000, 
0.016619153252123153, 0.021006814805985912, 0.0034371941582561293, 215798000000, 
0.03420215212380184, 0.03193500604136812, 0.0050295303791544265, 215900000000, 
0.026529963824999503, 0.03303603524292117, 0.005156751280061633, 215968000000, 
0.018222276224362566, -0.053266252998130925, 0.005263626144877594, 216070000000, 
0.033666211972384175, 0.023787493824615574, 0.0052278968014497496, 216172000000, 
0.02219705056565674, 0.013249247804313913, 0.004939035917493565, 216274000000, 
0.015938594984858667, -0.05909205662508502, 0.004786790501526639, 216376000000, 
0.035897682583094837, 0.045668773391460325, 0.004935555208907349, 216478000000, 
0.02479551943385233, 0.029523081496645547, 0.005108786466787056, 216580000000, 
0.047416250913859925, 0.038395227769216965, 0.007207296862053806, 216682000000, 
0.038254089138171576, 0.04486189901439749, 0.007364390632392255, 216784000000, 
0.026611574992695508, -0.06934891973721473, 0.0074854610029818, 216886000000, 
0.04505833528130354, 0.02268082047710655, 0.007328266627478042, 216988000000, 
0.02904551597786853, 0.008113136617243407, 0.006714361750124505, 217090000000, 
0.060110903748035016, 0.05017522822243825, 0.008947650333813806, 217192000000, 
0.04116831562514667, 0.04040933215759379, 0.008688315690070014, 217294000000, 
0.026515172897573436, -0.1119857695015386, 0.008519626151383675, 217396000000, 
0.05064891178147368, 0.03160198718775672, 0.007888826686946251, 217498000000, 
0.025520397161623687, -0.0033159191198324964, 0.006845632122711387, 217600000000, 
0.014795928453392171, -0.11950994442693837, 0.00606434915976597, 217668000000, 
