imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04911682560061263, -0.024715003711427548, -0.055338176932149534, -1.3576011648255506e-06, -0.00899467218268708, 0.0001509339236885873, -1.999243477076279, -0.5000010382937182, 179778000000, 
-0.030425226557406936, -0.005396120941863617, -0.04531486422968757, -9.13621234385881e-07, -0.00823566233659942, 0.00011093476116981303, -1.9993193293766556, -0.5000010443227965, 179878000000, 
-0.04967678877395322, 0.011368344430185152, -0.04672054116849432, -2.432045448780785e-07, -0.007832748328610774, 3.1049707545143806e-05, -1.9993586921111706, -0.5000010415502162, 179978000000, 
-0.08121179308471121, 0.009880368491582357, -0.05985234657615805, 9.470107507290733e-08, -0.008370716295735565, -1.1313377699964876e-05, -1.9993056941688165, -0.500001041076509, 180078000000, 
-0.08046342578558147, 0.0057136244066248515, -0.06754320638201006, 2.3455625788479887e-07, -0.009163485150912806, -2.559683941447037e-05, -1.9992250369139848, -0.5000010399360585, 180178000000, 
-0.05385880646217732, 0.02649749346329616, -0.061855963557298686, 1.0309788885519527e-06, -0.00933752292115691, -0.00011041246134089441, -1.9992080737584799, -0.5000010210299464, 180278000000, 
-0.06429971790320038, 0.01614325738019911, -0.06245264982385447, 1.1933869421796099e-06, -0.009458353086308133, -0.00012617280527485816, -1.9991950228705042, -0.5000010083518263, 180378000000, 
-0.06531699023349456, 0.005837943175262648, -0.06320861067127752, 9.438063238399721e-07, -0.009581743338100454, -9.850048060534653e-05, -1.999182746386129, -0.5000010010889979, 180478000000, 
-0.06467322843591441, 0.00931666967774242, -0.0634154243538043, 9.178252118028419e-07, -0.009669386449638865, -9.492072910552883e-05, -1.9991737544645312, -0.5000009889406536, 180578000000, 
-0.02537962082041967, -0.030957164452325277, -0.04825332037192653, -5.207102317989955e-07, -0.008833111377184934, 5.894980936659978e-05, -1.9992570279775963, -0.500001012780457, 180678000000, 
-0.07390504555509109, -0.02400681452354586, -0.05792041951110261, -1.0520455707453144e-06, -0.008863765175097233, 0.00011869059592203984, -1.9992541599566254, -0.500001025730062, 180778000000, 
-0.07461887355196734, 0.019520461623308442, -0.06408197419343822, -4.428516122179961e-08, -0.009258909815222295, 4.78297792133062e-06, -1.9992137611809866, -0.5000010090863557, 180878000000, 
-0.046625093365720925, 0.023225763604742242, -0.0569333107341585, 7.371685137795589e-07, -0.009094368963577813, -8.105768709537266e-05, -1.9992298397576223, -0.5000009918784246, 180978000000, 
-0.046849509161952026, 0.04404341520652788, -0.05267315551435429, 1.7965778588445997e-06, -0.008729841661299136, -0.0002057973017780074, -1.9992660320194244, -0.5000009581507648, 181078000000, 
-0.05729425382708917, -0.012841239467258566, -0.05415041562183681, 7.022244924506073e-07, -0.008593700045528212, -8.171387047841103e-05, -1.9992804715661647, -0.5000009667842592, 181178000000, 
-0.05829113079033122, -0.027053303886247635, -0.05544174548247526, -3.5089263787843386e-07, -0.008576265312460665, 4.091438698481184e-05, -1.9992802760432302, -0.5000009816194746, 181278000000, 
-0.04306903785915017, -0.002749182117246753, -0.050305879545261556, -2.8240061624405703e-07, -0.008276585860738825, 3.412042368625268e-05, -1.9993104173895722, -0.5000009787352951, 181378000000, 
-0.03525039595098288, 0.03284827328531031, -0.04414558299224462, 6.586748600182458e-07, -0.007716190967469151, -8.536269550548538e-05, -1.999365408125171, -0.5000009535375842, 181478000000, 
-0.0739917300225933, -0.0040357899176015274, -0.055479649454382565, 3.205759784164577e-07, -0.008031155794510626, -3.9916543349286606e-05, -1.9993337965517872, -0.5000009561102713, 181573000000, 
-0.032888378728592335, 0.01598307536587653, -0.04638121224414768, 5.74555029814624e-07, -0.0077146380556927345, -7.447595411046564e-05, -1.9993657282669903, -0.5000009439953441, 181678000000, 
-0.053748904291316804, 0.05078840235787321, -0.04896540803780448, 1.5184583172265943e-06, -0.007654341971589071, -0.0001983786879215375, -1.9993717900852925, -0.5000009121438276, 181778000000, 
-0.055913095928471025, -0.001531739353439492, -0.05138186264670248, 9.034983141267048e-07, -0.007762649936276829, -0.00011639044933669216, -1.9993605884702623, -0.5000009112829408, 181878000000, 
-0.046905112142925594, -0.01368111552144532, -0.04934558599558562, 2.2782358685883563e-07, -0.007716513679717665, -2.9524160302813243e-05, -1.9993651831964725, -0.5000009144143813, 181978000000, 
-0.04845306609261929, 0.012083080239312418, -0.048709493905019864, 4.16156652925258e-07, -0.007646613853100446, -5.442365220999363e-05, -1.9993720540020283, -0.5000009020675023, 182078000000, 
-0.049307951568706314, 0.00030611874833621783, -0.04865688868398606, 2.5916800788846083e-07, -0.007595836276369618, -3.41197464582963e-05, -1.9993763909483153, -0.5000008980769188, 182178000000, 
-0.044367857136648564, -0.01313565476125713, -0.046703986556694665, -1.3502804501844858e-07, -0.0074536324223004645, 1.81157370484838e-05, -1.9993906238627013, -0.5000009013956541, 182278000000, 
-0.03041525827717688, 0.012348253458212602, -0.04009067151873717, 1.7374279088352554e-07, -0.006973609384506818, -2.4914327904503476e-05, -1.9994382307341132, -0.5000008888103791, 182378000000, 
-0.05305360764656841, 0.028913030649014362, -0.044882629855100435, 6.529786214934872e-07, -0.00695244441782578, -9.392072517966155e-05, -1.999440508188849, -0.5000008731537452, 182478000000, 
-0.03766190679148207, -0.022162654326435327, -0.04181247566746128, -1.9355741821552464e-08, -0.006767113938177457, 2.8602653950238384e-06, -1.9994586635410467, -0.5000008815142863, 182578000000, 
-0.05739812207426371, 0.014537011966336987, -0.04762587121392828, 2.5631228207765266e-07, -0.006987092023982729, -3.6683684886055286e-05, -1.999435972040655, -0.5000008746113926, 182678000000, 
-0.06259440122678249, 0.02122069451185859, -0.05318075696178641, 5.989394704922543e-07, -0.007461398240539183, -8.027174682060303e-05, -1.9993884700198914, -0.5000008679079018, 182778000000, 
-0.08484057918057306, 0.017963519395316145, -0.06520521546452325, 8.577183238099239e-07, -0.008468324783025635, -0.0001012854780356536, -1.9992879302175721, -0.5000008667708256, 182878000000, 
-0.08522477098815417, 0.014426759085594704, -0.07265108971776338, 1.044181954886917e-06, -0.009539413356383242, -0.0001094597661174006, -1.999180546162924, -0.5000008660856267, 182978000000, 
-0.04694486015056383, 0.026862728629481348, -0.062267270668831205, 1.600803534521871e-06, -0.009597808380493667, -0.0001667884449303345, -1.9991747624877119, -0.5000008429914746, 183078000000, 
-0.06473381042104238, 0.01359434669763833, -0.06286584987573733, 1.471906197389868e-06, -0.009643244694575802, -0.00015263598964960373, -1.9991696457543888, -0.5000008266721001, 183178000000, 
